t_host_mono_ns,kind,channel,can_id
195535259151400,reg_read,0,1
195535760624500,reg_read,0,1
195536263308900,reg_read,0,1
195536778542500,reg_read,0,1
195537281297400,reg_read,0,1
195537783336900,reg_read,0,1
195538287883100,reg_read,0,1
195538801903600,reg_read,0,1
195539317452400,reg_read,0,1
195539832590000,reg_read,0,1
195540333642300,reg_read,0,1
195540850174800,reg_read,0,1
195541351788000,reg_read,0,1
195541853067300,reg_read,0,1
195542355025100,reg_read,0,1
195542856048500,reg_read,0,1
195543370498400,reg_read,0,1
195543885665200,reg_read,0,1
195544402760900,reg_read,0,1
195544917894800,reg_read,0,1
195545421593800,reg_read,0,1
195545936828300,reg_read,0,1
195546453166400,reg_read,0,1
195546965075100,reg_read,0,1
195547468112700,reg_read,0,1
195547980363600,reg_read,0,1
195548484085600,reg_read,0,1
195548997713400,reg_read,0,1
195549510670500,reg_read,0,1
195550024584800,reg_read,0,1
195550539389600,reg_read,0,1
195551054342300,reg_read,0,1
195551570051200,reg_read,0,1
195552084853800,reg_read,0,1
195552587185500,reg_read,0,1
195553099061300,reg_read,0,2
195553615455000,reg_read,0,2
195554117722600,reg_read,0,2
195554632495100,reg_read,0,2
195555147384000,reg_read,0,2
195555662382400,reg_read,0,2
195556166035400,reg_read,0,2
195556670162700,reg_read,0,2
195557170069200,reg_read,0,2
195557675363300,reg_read,0,2
195558175347300,reg_read,0,2
195558690180600,reg_read,0,2
195559193379000,reg_read,0,2
195559709803600,reg_read,0,2
195560209867500,reg_read,0,2
195560724855500,reg_read,0,2
195561226949600,reg_read,0,2
195561740570100,reg_read,0,2
195562257409400,reg_read,0,2
195562762770700,reg_read,0,2
195563266012600,reg_read,0,2
195563769782000,reg_read,0,2
195564287454800,reg_read,0,2
195564801579800,reg_read,0,2
195565318044200,reg_read,0,2
195565832143500,reg_read,0,2
195566335525600,reg_read,0,2
195566847527400,reg_read,0,2
195567350779300,reg_read,0,2
195567862958400,reg_read,0,2
195568381336600,reg_read,0,2
195568896439100,reg_read,0,2
195569408907000,reg_read,0,2
195569926334300,reg_read,0,2
195570443260300,reg_read,0,2
195570958213900,reg_read,1,3
195571472592800,reg_read,1,3
195571986932300,reg_read,1,3
195572498702700,reg_read,1,3
195573013370700,reg_read,1,3
195573516373200,reg_read,1,3
195574031635800,reg_read,1,3
195574546493900,reg_read,1,3
195575062690900,reg_read,1,3
195575565870700,reg_read,1,3
195576067569500,reg_read,1,3
195576568962700,reg_read,1,3
195577072792400,reg_read,1,3
195577578357100,reg_read,1,3
195578081920600,reg_read,1,3
195578590573700,reg_read,1,3
195579093556500,reg_read,1,3
195579598587300,reg_read,1,3
195580105053100,reg_read,1,3
195580617653000,reg_read,1,3
195581132884700,reg_read,1,3
195581640353100,reg_read,1,3
195582144185800,reg_read,1,3
195582645567200,reg_read,1,3
195583162046400,reg_read,1,3
195583677404400,reg_read,1,3
195584190603200,reg_read,1,3
195584693361800,reg_read,1,3
195585196299000,reg_read,1,3
195585698078000,reg_read,1,3
195586211205900,reg_read,1,3
195586726934400,reg_read,1,3
195587242273500,reg_read,1,3
195587759786800,reg_read,1,3
195588272559500,reg_read,1,3
195588787443500,reg_read,1,4
195589303261800,reg_read,1,4
195589817986500,reg_read,1,4
195590332477800,reg_read,1,4
195590847958400,reg_read,1,4
195591362993800,reg_read,1,4
195591877444800,reg_read,1,4
195592392601400,reg_read,1,4
195592903358600,reg_read,1,4
195593417846200,reg_read,1,4
195593933673300,reg_read,1,4
195594447943400,reg_read,1,4
195594957351600,reg_read,1,4
195595460404100,reg_read,1,4
195595971517400,reg_read,1,4
195596488007300,reg_read,1,4
195597000508000,reg_read,1,4
195597514546500,reg_read,1,4
195598018861900,reg_read,1,4
195598533597800,reg_read,1,4
195599046870600,reg_read,1,4
195599562099800,reg_read,1,4
195600076332900,reg_read,1,4
195600591429400,reg_read,1,4
195601093256600,reg_read,1,4
195601606891700,reg_read,1,4
195602122067700,reg_read,1,4
195602635889100,reg_read,1,4
195603150103600,reg_read,1,4
195603651079600,reg_read,1,4
195604165980100,reg_read,1,4
195604667310500,reg_read,1,4
195605169043100,reg_read,1,4
195605671597200,reg_read,1,4
195606187082700,reg_read,1,4
195606688894600,reg_read,0,5
195607190623600,reg_read,0,5
195607692594900,reg_read,0,5
195608193553700,reg_read,0,5
195608695554100,reg_read,0,5
195609198277200,reg_read,0,5
195609699055400,reg_read,0,5
195610202356300,reg_read,0,5
195610703205600,reg_read,0,5
195611205447800,reg_read,0,5
195611708404100,reg_read,0,5
195612210346800,reg_read,0,5
195612716121100,reg_read,0,5
195613217560900,reg_read,0,5
195613731076100,reg_read,0,5
195614246387700,reg_read,0,5
195614746544800,reg_read,0,5
195615262361200,reg_read,0,5
195615776047600,reg_read,0,5
195616277259400,reg_read,0,5
195616792591900,reg_read,0,5
195617306669100,reg_read,0,5
195617822206200,reg_read,0,5
195618324938600,reg_read,0,5
195618839177100,reg_read,0,5
195619339822600,reg_read,0,5
195619855696800,reg_read,0,5
195620368986000,reg_read,0,5
195620883022500,reg_read,0,5
195621385365000,reg_read,0,5
195621897412900,reg_read,0,5
195622411185700,reg_read,0,5
195622912594400,reg_read,0,5
195623419461100,reg_read,0,5
195623948249300,reg_read,0,5
195624448937300,reg_read,0,6
195624960668800,reg_read,0,6
195625465315600,reg_read,0,6
195625979494400,reg_read,0,6
195626494456600,reg_read,0,6
195627006502400,reg_read,0,6
195627507062800,reg_read,0,6
195628010542600,reg_read,0,6
195628525785800,reg_read,0,6
195629027481600,reg_read,0,6
195629528711600,reg_read,0,6
195630030338100,reg_read,0,6
195630533826100,reg_read,0,6
195631045945500,reg_read,0,6
195631562225400,reg_read,0,6
195632064079400,reg_read,0,6
195632574203400,reg_read,0,6
195633075052500,reg_read,0,6
195633589659600,reg_read,0,6
195634104802000,reg_read,0,6
195634619504900,reg_read,0,6
195635123877000,reg_read,0,6
195635639453000,reg_read,0,6
195636154623100,reg_read,0,6
195636658121700,reg_read,0,6
195637170521200,reg_read,0,6
195637675649800,reg_read,0,6
195638189073400,reg_read,0,6
195638701719800,reg_read,0,6
195639216700400,reg_read,0,6
195639731783600,reg_read,0,6
195640233687600,reg_read,0,6
195640749831000,reg_read,0,6
195641264105900,reg_read,0,6
195641764687200,reg_read,0,6
195642280813900,reg_read,1,7
195642796763300,reg_read,1,7
195643298436700,reg_read,1,7
195643813237200,reg_read,1,7
195644315663600,reg_read,1,7
195644829968100,reg_read,1,7
195645343568000,reg_read,1,7
195645860191200,reg_read,1,7
195646373337400,reg_read,1,7
195646887265200,reg_read,1,7
195647388358500,reg_read,1,7
195647901997600,reg_read,1,7
195648417566800,reg_read,1,7
195648917925900,reg_read,1,7
195649432437400,reg_read,1,7
195649933486900,reg_read,1,7
195650434568700,reg_read,1,7
195650950511800,reg_read,1,7
195651464700700,reg_read,1,7
195651980180100,reg_read,1,7
195652493683700,reg_read,1,7
195653008210000,reg_read,1,7
195653523291000,reg_read,1,7
195654037463800,reg_read,1,7
195654541069800,reg_read,1,7
195655053215700,reg_read,1,7
195655567003700,reg_read,1,7
195656070621400,reg_read,1,7
195656586217700,reg_read,1,7
195657086934800,reg_read,1,7
195657600153400,reg_read,1,7
195658113192200,reg_read,1,7
195658629513000,reg_read,1,7
195659141166100,reg_read,1,7
195659642552100,reg_read,1,7
195660143901900,reg_read,1,8
195660658533700,reg_read,1,8
195661174481000,reg_read,1,8
195661689813000,reg_read,1,8
195662201901400,reg_read,1,8
195662702886200,reg_read,1,8
195663216529500,reg_read,1,8
195663717875600,reg_read,1,8
195664234283000,reg_read,1,8
195664748766500,reg_read,1,8
195665249946200,reg_read,1,8
195665763821600,reg_read,1,8
195666265108300,reg_read,1,8
195666780136200,reg_read,1,8
195667281234000,reg_read,1,8
195667794738500,reg_read,1,8
195668307559300,reg_read,1,8
195668808230600,reg_read,1,8
195669322268900,reg_read,1,8
195669835269600,reg_read,1,8
195670351023400,reg_read,1,8
195670866593600,reg_read,1,8
195671368010500,reg_read,1,8
