canid,name,channel,rid,reg,value
1,FL_thigh,0,7,MST_ID,
1,FL_thigh,0,8,ESC_ID,
1,FL_thigh,0,9,TIMEOUT,
1,FL_thigh,0,10,CTRL_MODE,
1,FL_thigh,0,13,hw_ver,
1,FL_thigh,0,14,sw_ver,
1,FL_thigh,0,15,SN,
1,FL_thigh,0,16,NPP,
1,FL_thigh,0,35,can_br,
1,FL_thigh,0,36,sub_ver,
1,FL_thigh,0,0,UV_Value,
1,FL_thigh,0,1,KT_Value,
1,FL_thigh,0,2,OT_Value,
1,FL_thigh,0,3,OC_Value,
1,FL_thigh,0,6,MAX_SPD,
1,FL_thigh,0,11,Damp,
1,FL_thigh,0,12,Inertia,
1,FL_thigh,0,17,Rs,
1,FL_thigh,0,18,LS,
1,FL_thigh,0,19,Flux,
1,FL_thigh,0,20,Gr,
1,FL_thigh,0,21,PMAX,
1,FL_thigh,0,22,VMAX,
1,FL_thigh,0,23,TMAX,
1,FL_thigh,0,24,I_BW,
1,FL_thigh,0,25,KP_ASR,
1,FL_thigh,0,26,KI_ASR,
1,FL_thigh,0,27,KP_APR,
1,FL_thigh,0,28,KI_APR,
1,FL_thigh,0,29,OV_Value,
1,FL_thigh,0,30,GREF,
1,FL_thigh,0,31,Deta,
1,FL_thigh,0,32,V_BW,
1,FL_thigh,0,33,IQ_c1,
1,FL_thigh,0,34,VL_c1,
2,FL_calf,0,7,MST_ID,
2,FL_calf,0,8,ESC_ID,
2,FL_calf,0,9,TIMEOUT,
2,FL_calf,0,10,CTRL_MODE,
2,FL_calf,0,13,hw_ver,
2,FL_calf,0,14,sw_ver,
2,FL_calf,0,15,SN,
2,FL_calf,0,16,NPP,
2,FL_calf,0,35,can_br,
2,FL_calf,0,36,sub_ver,
2,FL_calf,0,0,UV_Value,
2,FL_calf,0,1,KT_Value,
2,FL_calf,0,2,OT_Value,
2,FL_calf,0,3,OC_Value,
2,FL_calf,0,6,MAX_SPD,
2,FL_calf,0,11,Damp,
2,FL_calf,0,12,Inertia,
2,FL_calf,0,17,Rs,
2,FL_calf,0,18,LS,
2,FL_calf,0,19,Flux,
2,FL_calf,0,20,Gr,
2,FL_calf,0,21,PMAX,
2,FL_calf,0,22,VMAX,
2,FL_calf,0,23,TMAX,
2,FL_calf,0,24,I_BW,
2,FL_calf,0,25,KP_ASR,
2,FL_calf,0,26,KI_ASR,
2,FL_calf,0,27,KP_APR,
2,FL_calf,0,28,KI_APR,
2,FL_calf,0,29,OV_Value,
2,FL_calf,0,30,GREF,
2,FL_calf,0,31,Deta,
2,FL_calf,0,32,V_BW,
2,FL_calf,0,33,IQ_c1,
2,FL_calf,0,34,VL_c1,
3,FR_thigh,1,7,MST_ID,
3,FR_thigh,1,8,ESC_ID,
3,FR_thigh,1,9,TIMEOUT,
3,FR_thigh,1,10,CTRL_MODE,
3,FR_thigh,1,13,hw_ver,
3,FR_thigh,1,14,sw_ver,
3,FR_thigh,1,15,SN,
3,FR_thigh,1,16,NPP,
3,FR_thigh,1,35,can_br,
3,FR_thigh,1,36,sub_ver,
3,FR_thigh,1,0,UV_Value,
3,FR_thigh,1,1,KT_Value,
3,FR_thigh,1,2,OT_Value,
3,FR_thigh,1,3,OC_Value,
3,FR_thigh,1,6,MAX_SPD,
3,FR_thigh,1,11,Damp,
3,FR_thigh,1,12,Inertia,
3,FR_thigh,1,17,Rs,
3,FR_thigh,1,18,LS,
3,FR_thigh,1,19,Flux,
3,FR_thigh,1,20,Gr,
3,FR_thigh,1,21,PMAX,
3,FR_thigh,1,22,VMAX,
3,FR_thigh,1,23,TMAX,
3,FR_thigh,1,24,I_BW,
3,FR_thigh,1,25,KP_ASR,
3,FR_thigh,1,26,KI_ASR,
3,FR_thigh,1,27,KP_APR,
3,FR_thigh,1,28,KI_APR,
3,FR_thigh,1,29,OV_Value,
3,FR_thigh,1,30,GREF,
3,FR_thigh,1,31,Deta,
3,FR_thigh,1,32,V_BW,
3,FR_thigh,1,33,IQ_c1,
3,FR_thigh,1,34,VL_c1,
4,FR_calf,1,7,MST_ID,
4,FR_calf,1,8,ESC_ID,
4,FR_calf,1,9,TIMEOUT,
4,FR_calf,1,10,CTRL_MODE,
4,FR_calf,1,13,hw_ver,
4,FR_calf,1,14,sw_ver,
4,FR_calf,1,15,SN,
4,FR_calf,1,16,NPP,
4,FR_calf,1,35,can_br,
4,FR_calf,1,36,sub_ver,
4,FR_calf,1,0,UV_Value,
4,FR_calf,1,1,KT_Value,
4,FR_calf,1,2,OT_Value,
4,FR_calf,1,3,OC_Value,
4,FR_calf,1,6,MAX_SPD,
4,FR_calf,1,11,Damp,
4,FR_calf,1,12,Inertia,
4,FR_calf,1,17,Rs,
4,FR_calf,1,18,LS,
4,FR_calf,1,19,Flux,
4,FR_calf,1,20,Gr,
4,FR_calf,1,21,PMAX,
4,FR_calf,1,22,VMAX,
4,FR_calf,1,23,TMAX,
4,FR_calf,1,24,I_BW,
4,FR_calf,1,25,KP_ASR,
4,FR_calf,1,26,KI_ASR,
4,FR_calf,1,27,KP_APR,
4,FR_calf,1,28,KI_APR,
4,FR_calf,1,29,OV_Value,
4,FR_calf,1,30,GREF,
4,FR_calf,1,31,Deta,
4,FR_calf,1,32,V_BW,
4,FR_calf,1,33,IQ_c1,
4,FR_calf,1,34,VL_c1,
5,RL_thigh,0,7,MST_ID,
5,RL_thigh,0,8,ESC_ID,
5,RL_thigh,0,9,TIMEOUT,
5,RL_thigh,0,10,CTRL_MODE,
5,RL_thigh,0,13,hw_ver,
5,RL_thigh,0,14,sw_ver,
5,RL_thigh,0,15,SN,
5,RL_thigh,0,16,NPP,
5,RL_thigh,0,35,can_br,
5,RL_thigh,0,36,sub_ver,
5,RL_thigh,0,0,UV_Value,
5,RL_thigh,0,1,KT_Value,
5,RL_thigh,0,2,OT_Value,
5,RL_thigh,0,3,OC_Value,
5,RL_thigh,0,6,MAX_SPD,
5,RL_thigh,0,11,Damp,
5,RL_thigh,0,12,Inertia,
5,RL_thigh,0,17,Rs,
5,RL_thigh,0,18,LS,
5,RL_thigh,0,19,Flux,
5,RL_thigh,0,20,Gr,
5,RL_thigh,0,21,PMAX,
5,RL_thigh,0,22,VMAX,
5,RL_thigh,0,23,TMAX,
5,RL_thigh,0,24,I_BW,
5,RL_thigh,0,25,KP_ASR,
5,RL_thigh,0,26,KI_ASR,
5,RL_thigh,0,27,KP_APR,
5,RL_thigh,0,28,KI_APR,
5,RL_thigh,0,29,OV_Value,
5,RL_thigh,0,30,GREF,
5,RL_thigh,0,31,Deta,
5,RL_thigh,0,32,V_BW,
5,RL_thigh,0,33,IQ_c1,
5,RL_thigh,0,34,VL_c1,
6,RL_calf,0,7,MST_ID,
6,RL_calf,0,8,ESC_ID,
6,RL_calf,0,9,TIMEOUT,
6,RL_calf,0,10,CTRL_MODE,
6,RL_calf,0,13,hw_ver,
6,RL_calf,0,14,sw_ver,
6,RL_calf,0,15,SN,
6,RL_calf,0,16,NPP,
6,RL_calf,0,35,can_br,
6,RL_calf,0,36,sub_ver,
6,RL_calf,0,0,UV_Value,
6,RL_calf,0,1,KT_Value,
6,RL_calf,0,2,OT_Value,
6,RL_calf,0,3,OC_Value,
6,RL_calf,0,6,MAX_SPD,
6,RL_calf,0,11,Damp,
6,RL_calf,0,12,Inertia,
6,RL_calf,0,17,Rs,
6,RL_calf,0,18,LS,
6,RL_calf,0,19,Flux,
6,RL_calf,0,20,Gr,
6,RL_calf,0,21,PMAX,
6,RL_calf,0,22,VMAX,
6,RL_calf,0,23,TMAX,
6,RL_calf,0,24,I_BW,
6,RL_calf,0,25,KP_ASR,
6,RL_calf,0,26,KI_ASR,
6,RL_calf,0,27,KP_APR,
6,RL_calf,0,28,KI_APR,
6,RL_calf,0,29,OV_Value,
6,RL_calf,0,30,GREF,
6,RL_calf,0,31,Deta,
6,RL_calf,0,32,V_BW,
6,RL_calf,0,33,IQ_c1,
6,RL_calf,0,34,VL_c1,
7,RR_thigh,1,7,MST_ID,
7,RR_thigh,1,8,ESC_ID,
7,RR_thigh,1,9,TIMEOUT,
7,RR_thigh,1,10,CTRL_MODE,
7,RR_thigh,1,13,hw_ver,
7,RR_thigh,1,14,sw_ver,
7,RR_thigh,1,15,SN,
7,RR_thigh,1,16,NPP,
7,RR_thigh,1,35,can_br,
7,RR_thigh,1,36,sub_ver,
7,RR_thigh,1,0,UV_Value,
7,RR_thigh,1,1,KT_Value,
7,RR_thigh,1,2,OT_Value,
7,RR_thigh,1,3,OC_Value,
7,RR_thigh,1,6,MAX_SPD,
7,RR_thigh,1,11,Damp,
7,RR_thigh,1,12,Inertia,
7,RR_thigh,1,17,Rs,
7,RR_thigh,1,18,LS,
7,RR_thigh,1,19,Flux,
7,RR_thigh,1,20,Gr,
