t_host_mono_ns,channel,can_id,dlc,data_hex
195881236278800,0,17,8,0100330711000000
195881345898600,0,17,8,0100330801000000
195881455066500,0,17,8,0100330900000000
195881563836400,0,17,8,0100330a01000000
195881672888600,0,17,8,0100330d00000000
195881782835900,0,17,8,0100330e36333137
195881892614000,0,17,8,0100330f00000000
195882001113900,0,17,8,0100331015000000
195882109221600,0,17,8,0100332309000000
195882219826700,0,17,8,0100332433000000
195882327759100,0,17,8,0100330000007041
195882436585100,0,17,8,0100330100000000
195882545881600,0,17,8,010033020000c842
195882653604400,0,17,8,01003303cdcc4c3f
195882763102100,0,17,8,0100330600001644
195882873743900,0,17,8,0100330bb3394c3a
195882982644500,0,17,8,0100330cb3620039
195883091899800,0,17,8,01003311a81ed93e
195883201435100,0,17,8,0100331272835939
195883309594400,0,17,8,01003313d5c5b33b
195883419820100,0,17,8,010033140000c040
195883530652000,0,17,8,0100331500004841
195883639300600,0,17,8,0100331600003442
195883747633700,0,17,8,010033170000a041
195883856787000,0,17,8,0100331800007a44
195883966127200,0,17,8,01003319d044583b
195884075910000,0,17,8,0100331a6f12033b
195884185226900,0,17,8,0100331b00005842
195884293530900,0,17,8,0100331c00000000
195884401961500,0,17,8,0100331d00005842
195884511778000,0,17,8,0100331e0000803f
195884621222700,0,17,8,0100331f00008040
195884729920900,0,17,8,0100332000002042
195884839880200,0,17,8,0100332100401c45
195884950462200,0,17,8,010033220000c842
195885062797200,0,18,8,0200330712000000
195885169014200,0,18,8,0200330802000000
195885278725600,0,18,8,0200330900000000
195885388845300,0,18,8,0200330a01000000
195885496937300,0,18,8,0200330d00000000
195885604083400,0,18,8,0200330e36333137
195885715884400,0,18,8,0200330f00000000
195885823641200,0,18,8,0200331015000000
195885933903300,0,18,8,0200332309000000
195886044238500,0,18,8,0200332433000000
195886154663200,0,18,8,0200330000007041
195886264661100,0,18,8,0200330100000000
195886373581400,0,18,8,020033020000c842
195886482618300,0,18,8,02003303cdcc4c3f
195886591884300,0,18,8,0200330600001644
195886701738500,0,18,8,0200330b00cf733a
195886813161400,0,18,8,0200330ce6c8fd38
195886920838000,0,18,8,02003311e2c9ce3e
195887030329900,0,18,8,0200331280145539
195887139621800,0,18,8,02003313e202b33b
195887249081400,0,18,8,020033140000c040
195887357996800,0,18,8,0200331500004841
195887466066000,0,18,8,0200331600003442
195887574881200,0,18,8,020033170000a041
195887684710800,0,18,8,0200331800007a44
195887794276500,0,18,8,02003319d044583b
195887903576900,0,18,8,0200331a6f12033b
195888012941900,0,18,8,0200331b00005842
195888122655700,0,18,8,0200331c00000000
195888232387200,0,18,8,0200331d00005842
195888342173300,0,18,8,0200331e0000803f
195888451874000,0,18,8,0200331f00008040
195888561064100,0,18,8,0200332000002042
195888671577800,0,18,8,0200332100401c45
195888781372800,0,18,8,020033220000c842
195888891887300,1,19,8,0300330713000000
195889001790000,1,19,8,0300330803000000
195889111593500,1,19,8,0300330900000000
195889220854700,1,19,8,0300330a01000000
195889329448100,1,19,8,0300330d00000000
195889438495600,1,19,8,0300330e36333137
195889547999800,1,19,8,0300330f00000000
195889658529600,1,19,8,0300331015000000
195889768802700,1,19,8,0300332309000000
195889877662800,1,19,8,0300332433000000
195889986224600,1,19,8,0300330000007041
195890094363800,1,19,8,0300330100000000
195890203560200,1,19,8,030033020000c842
195890311921200,1,19,8,03003303cdcc4c3f
195890419822200,1,19,8,0300330600001644
195890528538800,1,19,8,0300330bac430c3a
195890638231400,1,19,8,0300330c571af638
