t_host_mono_ns,channel,can_id,dlc,data_hex
196390835114300,0,17,8,017fde7ff8001a17
196390835190300,0,18,8,0281c87ff8021a18
196390835206300,1,19,8,03804b8007ff1a18
196390835214800,1,20,8,047e567ff7ff1a18
196390835221800,0,21,8,057f037ff7ff1a17
196390835229100,0,22,8,06819c7ff7ff1917
196390835235900,1,23,8,077fe77ff8001a14
196390835242500,1,24,8,087ffe7ff8001917
196391054341700,0,17,8,017fdd7ff8001a17
196391054425500,0,18,8,0281c88008001a18
196391054435200,1,19,8,03804b7fe8001a18
196391054450000,1,20,8,047e567ff8001a18
196391054461500,0,21,8,057f037ff8001a17
196391054477100,0,22,8,06819d7ff7ff1917
196391054484900,1,23,8,077fe67fe8001a14
196391054515400,1,24,8,087ffe7ff8001917
196391054523300,0,17,8,017fde7ff8001a17
196391054529500,0,18,8,0281c87ff8001a18
196391054535400,1,19,8,03804b7fe8001a18
196391054541500,1,20,8,047e567ff8001a18
196391054548200,0,21,8,057f037fe8001a17
196391054554000,0,22,8,06819d7ff8001917
196391054559800,1,23,8,077fe77ff8001a14
196391054565600,1,24,8,087ffe8008001917
196391054571300,0,17,8,017fdd7ff8001a17
196391054577200,0,18,8,0281c87ff8011a18
196391054583100,1,19,8,03804b7ff7ff1a18
196391054589900,1,20,8,047e568007ff1a18
196391054596000,0,21,8,057f037ff8001a17
196391054601600,0,22,8,06819d7ff8001917
196391054607300,1,23,8,077fe67fe8011a14
196391054623800,1,24,8,087ffe7ff7ff1917
196391054631200,0,17,8,017fdd7ff8001a17
196391054637100,0,18,8,0281c87ff8021a18
196391054643000,1,19,8,03804b7ff7ff1a18
196391163350200,1,20,8,047e567ff7ff1a18
196391163383000,0,21,8,057f038008001a17
196391163406100,0,22,8,06819d7ff8001917
196391163414100,1,23,8,077fe67fe8001a14
196391163420300,1,24,8,087ffe8007ff1917
196391163430600,0,17,8,017fdd8008001a17
196391163440100,0,18,8,0281c87ff8001a18
196391163449000,1,19,8,03804b7ff7ff1a18
196391163455800,1,20,8,047e567ff7ff1a18
196391163461500,0,21,8,057f037ff8001a17
196391163467600,0,22,8,06819d7ff7ff1917
196391163473800,1,23,8,077fe77ff8001a14
196391163479900,1,24,8,087ffe7ff7ff1917
