t_host_mono_ns,kind,channel,can_id
196390827094000,mit_zero,0,1
196390827190800,mit_zero,0,2
196390827388100,mit_zero,1,3
196390827446200,mit_zero,1,4
196390827585600,mit_zero,0,5
196390827693800,mit_zero,0,6
196390827735500,mit_zero,1,7
196390827849900,mit_zero,1,8
196391027990300,mit_zero,0,1
196391029661500,mit_zero,0,2
196391030241000,mit_zero,1,3
196391031275900,mit_zero,1,4
196391032384200,mit_zero,0,5
196391033437900,mit_zero,0,6
196391034545800,mit_zero,1,7
196391035685500,mit_zero,1,8
196391036347000,mit_zero,0,1
196391037330300,mit_zero,0,2
196391038337100,mit_zero,1,3
196391039514300,mit_zero,1,4
196391040666600,mit_zero,0,5
196391041312700,mit_zero,0,6
196391042318000,mit_zero,1,7
196391043423800,mit_zero,1,8
196391044546300,mit_zero,0,1
196391045612700,mit_zero,0,2
196391046214700,mit_zero,1,3
196391047219700,mit_zero,1,4
196391048321400,mit_zero,0,5
196391049460200,mit_zero,0,6
196391050529100,mit_zero,1,7
196391051554900,mit_zero,1,8
196391052672100,mit_zero,0,1
196391053303100,mit_zero,0,2
196391054361200,mit_zero,1,3
196391055308900,mit_zero,1,4
196391056331900,mit_zero,0,5
196391057388600,mit_zero,0,6
196391058395500,mit_zero,1,7
196391059472300,mit_zero,1,8
196391060526900,mit_zero,0,1
196391061606600,mit_zero,0,2
196391062585000,mit_zero,1,3
196391063172300,mit_zero,1,4
196391064200000,mit_zero,0,5
196391065289400,mit_zero,0,6
196391066381900,mit_zero,1,7
196391067430700,mit_zero,1,8
196391068492800,mit_zero,0,1
196391069647800,mit_zero,0,2
196391070579700,mit_zero,1,3
196391071626600,mit_zero,1,4
196391072082800,mit_zero,0,5
196391073113300,mit_zero,0,6
196391074192100,mit_zero,1,7
196391075274600,mit_zero,1,8
196391076350400,mit_zero,0,1
196391077413500,mit_zero,0,2
196391078550300,mit_zero,1,3
196391079649700,mit_zero,1,4
196391080204200,mit_zero,0,5
196391081226500,mit_zero,0,6
196391082278600,mit_zero,1,7
196391083317800,mit_zero,1,8
196391084372600,mit_zero,0,1
196391085533900,mit_zero,0,2
196391086471200,mit_zero,1,3
196391087474300,mit_zero,1,4
196391088545400,mit_zero,0,5
196391089706600,mit_zero,0,6
196391090310900,mit_zero,1,7
196391091313400,mit_zero,1,8
196391092382200,mit_zero,0,1
196391093456400,mit_zero,0,2
196391094522600,mit_zero,1,3
196391095607000,mit_zero,1,4
196391096640600,mit_zero,0,5
196391097803900,mit_zero,0,6
196391098490300,mit_zero,1,7
196391099513200,mit_zero,1,8
196391100702700,mit_zero,0,1
196391101102700,mit_zero,0,2
196391102109900,mit_zero,1,3
196391103791000,mit_zero,1,4
196391104471900,mit_zero,0,5
196391105474400,mit_zero,0,6
196391106572600,mit_zero,1,7
196391107689900,mit_zero,1,8
196391108301400,mit_zero,0,1
196391109351400,mit_zero,0,2
196391110538400,mit_zero,1,3
196391111594600,mit_zero,1,4
196391112713100,mit_zero,0,5
196391113308000,mit_zero,0,6
196391114305900,mit_zero,1,7
196391115352500,mit_zero,1,8
196391116425800,mit_zero,0,1
196391117503600,mit_zero,0,2
196391118516900,mit_zero,1,3
196391119555800,mit_zero,1,4
196391120651300,mit_zero,0,5
196391121239900,mit_zero,0,6
196391122246400,mit_zero,1,7
196391123301700,mit_zero,1,8
196391124399400,mit_zero,0,1
196391125452200,mit_zero,0,2
196391126552200,mit_zero,1,3
196391127714500,mit_zero,1,4
196391128346900,mit_zero,0,5
196391129369000,mit_zero,0,6
196391130435300,mit_zero,1,7
196391131467400,mit_zero,1,8
196391132564000,mit_zero,0,1
196391133683200,mit_zero,0,2
196391134309700,mit_zero,1,3
196391135313100,mit_zero,1,4
196391136422500,mit_zero,0,5
196391137502700,mit_zero,0,6
196391138535000,mit_zero,1,7
196391139720800,mit_zero,1,8
196391140362300,mit_zero,0,1
196391141364600,mit_zero,0,2
196391142415000,mit_zero,1,3
196391143530700,mit_zero,1,4
196391144654200,mit_zero,0,5
196391145278400,mit_zero,0,6
196391146280700,mit_zero,1,7
196391147439000,mit_zero,1,8
196391148550600,mit_zero,0,1
196391149555300,mit_zero,0,2
196391150556900,mit_zero,1,3
196391151680700,mit_zero,1,4
196391152300300,mit_zero,0,5
196391153301700,mit_zero,0,6
196391154410700,mit_zero,1,7
196391155520700,mit_zero,1,8
196391156634500,mit_zero,0,1
196391157763300,mit_zero,0,2
196391158370400,mit_zero,1,3
196391159400900,mit_zero,1,4
196391160519200,mit_zero,0,5
196391161609000,mit_zero,0,6
196391162217100,mit_zero,1,7
196391163319400,mit_zero,1,8
196391164369700,mit_zero,0,1
196391165416000,mit_zero,0,2
196391166509000,mit_zero,1,3
196391167498000,mit_zero,1,4
196391168621700,mit_zero,0,5
196391169778800,mit_zero,0,6
196391170458700,mit_zero,1,7
196391171479800,mit_zero,1,8
196391172498300,mit_zero,0,1
196391173569700,mit_zero,0,2
196391174173100,mit_zero,1,3
196391175199000,mit_zero,1,4
196391176269800,mit_zero,0,5
196391177327100,mit_zero,0,6
196391178439900,mit_zero,1,7
196391179486100,mit_zero,1,8
196391180560400,mit_zero,0,1
196391181679100,mit_zero,0,2
196391182307700,mit_zero,1,3
196391183378600,mit_zero,1,4
196391184415700,mit_zero,0,5
196391185499100,mit_zero,0,6
196391186617800,mit_zero,1,7
196391187729200,mit_zero,1,8
196391188324000,mit_zero,0,1
196391189344700,mit_zero,0,2
196391190427100,mit_zero,1,3
196391191617300,mit_zero,1,4
196391192720500,mit_zero,0,5
196391193321500,mit_zero,0,6
196391194384900,mit_zero,1,7
196391195626000,mit_zero,1,8
196391196233300,mit_zero,0,1
196391197241600,mit_zero,0,2
196391198312900,mit_zero,1,3
196391199438500,mit_zero,1,4
196391200531800,mit_zero,0,5
196391201641200,mit_zero,0,6
196391202239200,mit_zero,1,7
196391203240600,mit_zero,1,8
196391204295300,mit_zero,0,1
196391205353600,mit_zero,0,2
196391206387200,mit_zero,1,3
196391207477700,mit_zero,1,4
196391208545100,mit_zero,0,5
196391209729200,mit_zero,0,6
196391210327600,mit_zero,1,7
196391211350300,mit_zero,1,8
196391212422300,mit_zero,0,1
196391213510300,mit_zero,0,2
196391214642300,mit_zero,1,3
196391215308900,mit_zero,1,4
196391216330500,mit_zero,0,5
196391217388400,mit_zero,0,6
196391218440900,mit_zero,1,7
196391219549900,mit_zero,1,8
196391220681700,mit_zero,0,1
196391221301900,mit_zero,0,2
196391222308700,mit_zero,1,3
196391223317500,mit_zero,1,4
196391224438000,mit_zero,0,5
196391225489100,mit_zero,0,6
196391226627700,mit_zero,1,7
196391227209800,mit_zero,1,8
196391228230500,mit_zero,0,1
196391229331800,mit_zero,0,2
196391230360200,mit_zero,1,3
196391231563800,mit_zero,1,4
196391232517900,mit_zero,0,5
196391233648000,mit_zero,0,6
196391234632100,mit_zero,1,7
196391235132600,mit_zero,1,8
196391236166000,mit_zero,0,1
196391237285400,mit_zero,0,2
196391238340000,mit_zero,1,3
196391239467800,mit_zero,1,4
196391240592500,mit_zero,0,5
196391241761800,mit_zero,0,6
196391242429400,mit_zero,1,7
196391243431600,mit_zero,1,8
196391244497900,mit_zero,0,1
196391245592700,mit_zero,0,2
196391246697200,mit_zero,1,3
196391247314600,mit_zero,1,4
196391248315200,mit_zero,0,5
196391249386400,mit_zero,0,6
196391250464200,mit_zero,1,7
196391251520900,mit_zero,1,8
196391252727800,mit_zero,0,1
196391253338500,mit_zero,0,2
196391254368800,mit_zero,1,3
196391255469300,mit_zero,1,4
196391256658400,mit_zero,0,5
196391257834800,mit_zero,0,6
196391258757500,mit_zero,1,7
196391259364900,mit_zero,1,8
196391260352200,mit_zero,0,1
196391261416000,mit_zero,0,2
196391262419300,mit_zero,1,3
196391263480800,mit_zero,1,4
196391264539400,mit_zero,0,5
196391265654600,mit_zero,0,6
196391266289800,mit_zero,1,7
196391267293000,mit_zero,1,8
196391268347600,mit_zero,0,1
196391269404200,mit_zero,0,2
196391270579800,mit_zero,1,3
196391271635000,mit_zero,1,4
196391272727900,mit_zero,0,5
196391273353700,mit_zero,0,6
196391274890400,mit_zero,1,7
196391275394100,mit_zero,1,8
196391276457000,mit_zero,0,1
196391277479900,mit_zero,0,2
196391278493700,mit_zero,1,3
196391279504700,mit_zero,1,4
196391280516700,mit_zero,0,5
196391281687400,mit_zero,0,6
196391282552900,mit_zero,1,7
196391283596200,mit_zero,1,8
196391284083200,mit_zero,0,1
196391285093900,mit_zero,0,2
196391286111700,mit_zero,1,3
196391287126300,mit_zero,1,4
196391288276000,mit_zero,0,5
196391289368400,mit_zero,0,6
196391291294100,mit_zero,1,7
196391291446300,mit_zero,1,8
196391293396400,mit_zero,0,1
196391293541000,mit_zero,0,2
196391294274500,mit_zero,1,3
196391295161300,mit_zero,1,4
196391296313000,mit_zero,0,5
196391297258400,mit_zero,0,6
196391298262300,mit_zero,1,7
196391299269100,mit_zero,1,8
196391300271500,mit_zero,0,1
196391301334100,mit_zero,0,2
196391302576200,mit_zero,1,3
196391303713700,mit_zero,1,4
196391304298500,mit_zero,0,5
196391305605000,mit_zero,0,6
196391306820800,mit_zero,1,7
196391307437900,mit_zero,1,8
196391308438800,mit_zero,0,1
196391309519200,mit_zero,0,2
196391310639300,mit_zero,1,3
196391311220600,mit_zero,1,4
196391312677500,mit_zero,0,5
196391314069600,mit_zero,0,6
196391314173600,mit_zero,1,7
196391315306700,mit_zero,1,8
196391316302200,mit_zero,0,1
196391317338800,mit_zero,0,2
196391318455100,mit_zero,1,3
196391319424600,mit_zero,1,4
196391320549100,mit_zero,0,5
196391321389100,mit_zero,0,6
196391322382000,mit_zero,1,7
196391323456200,mit_zero,1,8
196391324520100,mit_zero,0,1
196391325604600,mit_zero,0,2
196391326104100,mit_zero,1,3
196391327111100,mit_zero,1,4
196391328194300,mit_zero,0,5
196391329914800,mit_zero,0,6
196391330619600,mit_zero,1,7
196391331190000,mit_zero,1,8
196391332196800,mit_zero,0,1
196391333567900,mit_zero,0,2
196391334208800,mit_zero,1,3
196391335294600,mit_zero,1,4
196391336426400,mit_zero,0,5
196391337355800,mit_zero,0,6
196391338357000,mit_zero,1,7
196391339414200,mit_zero,1,8
196391340497600,mit_zero,0,1
