metric,statistic,a_mean_across_scenarios,b_mean_across_scenarios,b_minus_a,b_over_a
velocity_x_rmse,rms,0.020773404778185844,0.02439907908545276,0.0036256743072669156,1.174534427359459
yaw_rate_rmse,rms,0.05590176317328913,0.05023642668554204,-0.005665336487747093,0.89865549553088
base_tilt_rms,rms,0.029116525319215887,0.020241999191183472,-0.008874526128032415,0.6952065526110172
base_ang_vel_xy_rms,rms,0.16911089716728508,0.12666195508905354,-0.04244894207823155,0.7489875413750486
joint_target_step_p95_deg,p95,3.864311438077839,3.2470278126708916,-0.6172836254069476,0.8402603839523884
joint_acc_p95_rad_s2,p95,29.43067079120212,27.180590788523357,-2.2500800026787644,0.9235464247946603
joint_torque_p95_nm,p95,5.578029314676921,5.065992699729072,-0.5120366149478492,0.908204746504186
mechanical_power_mean_w,mean,2.9898200220472755,2.9925227306842332,0.0027027086369577624,1.0009039703450469
foot_force_p95_n,p95,57.425760417514375,58.06859781477187,0.6428373972574946,1.0111942339567423
touchdown_force_p95_n,p95,78.45548201666938,56.90112753974066,-21.554354476928715,0.7252664323399469
contact_mismatch_mean,mean,0.08630952380952381,0.09523809523809525,0.008928571428571438,1.1034482758620692
swing_height_mean_m,mean,0.037570353698755506,0.03495459788074364,-0.002615755818011864,0.9303771308892812
action_second_step_p95,p95,0.404460490846799,0.3255984811319244,-0.07886200971487461,0.8050192503357618
