torque_nm,vbus_v,ibus_a,speed_rpm,efficiency_pct,input_power_w,output_power_w
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.200,24.000,0.395,119.446,24.223,9.479,2.619
1.000,24.000,0.886,119.973,54.864,21.267,12.642
2.000,24.000,1.550,120.021,67.885,37.188,25.264
3.000,24.000,2.258,120.021,69.825,54.201,37.793
4.000,24.000,3.069,119.254,69.270,73.646,50.136
5.000,24.000,3.889,120.833,67.608,93.333,63.268
6.000,24.000,4.800,120.164,65.503,115.208,75.565
7.000,24.000,5.849,119.829,62.954,140.365,87.909
8.000,24.000,6.937,119.350,60.183,166.493,99.973
9.000,24.000,8.244,118.584,57.025,197.847,111.853
10.000,24.000,9.317,111.687,52.592,223.611,116.957
11.000,24.000,10.396,100.575,47.107,249.496,115.844
12.000,24.000,11.495,88.792,40.956,275.868,111.574
13.000,24.000,12.730,73.370,33.532,305.521,99.788
