t_host_mono_ns,channel,can_id,data_hex
199180372947200,0,17,0100550a01000000
199180373042600,0,17,117ff57ff7fe1c19
199180373062100,0,17,117ff57ff7fe1c19
199180373072900,0,17,117ff47fe7fe1c19
199180373080100,0,17,117ff57ff7fe1c19
199180373086700,0,17,117ff47fe7ff1c19
199180484090000,0,17,117ff58007ff1c19
199180593650900,0,17,117ff57ff7ff1c19
199180593698000,0,17,117ff58007fe1c19
199180593722200,0,17,117ff58007fe1c19
199180593734600,0,17,117ff57ff7fe1c19
199180593742300,0,17,117ff57ff7fd1c19
199180593748800,0,17,117ff57fe7fe1c19
199180593757400,0,17,117ff57ff7fe1c19
199180593770000,0,17,117ff47ff7fd1c19
199180593776700,0,17,117ff57ff7fd1c19
199180593782200,0,17,117ff57ff7fd1c19
199180593788000,0,17,117ff58007fd1c19
199180593793300,0,17,117ff57fe7fd1c19
199180593798900,0,17,117ff57ff7fd1c19
199180593806800,0,17,117ff57ff7fd1c19
199180593815500,0,17,117ff57ff7fe1c19
199180593823000,0,17,117ff57ff7fe1c19
199180701588900,0,17,117ff57ff7fd1c19
199180701691700,0,17,117ff47ff7fd1c19
199180701719600,0,17,117ff57ff7fe1c19
199180701731600,0,17,117ff57ff7fe1c19
199180701749700,0,17,117ff57ff7fd1c19
199180701757900,0,17,117ff57ff7fd1c19
199180701764000,0,17,117ff47ff7fd1c19
199180701769700,0,17,117ff47fe7fc1c19
199180701775600,0,17,117ff57ff7fc1c19
199180701781700,0,17,117ff47ff7fc1c19
199180701787400,0,17,117ff57ff7fc1c19
199180701793000,0,17,117ff57ff7fc1c19
199180701798400,0,17,117ff58007fc1c19
199180701803800,0,17,117ff57ff7fc1c19
199180701809300,0,17,117ff57fe7fc1c19
199180701814700,0,17,117ff57ff7fc1c19
199180701820500,0,17,117ff57ff7fc1c19
199180701826000,0,17,117ff47ff7fc1c19
199180701831900,0,17,117ff57fe7fc1c19
199180701837400,0,17,117ff57ff7fc1c19
199180701842900,0,17,117ff58007fc1c19
199180701850100,0,17,117ff58007fc1c19
199180701855700,0,17,117ff57ff7fd1c19
199180701861200,0,17,117ff57ff7fd1c19
199180701867000,0,17,117ff47ff7fc1c19
199180701874100,0,17,117ff57fe7fd1c19
199180701879600,0,17,117ff58007fd1c19
199180701885200,0,17,117ff47ff7fc1c19
199180701891100,0,17,117ff57ff7fd1c19
199180701896500,0,17,117ff57ff7fd1c19
199180701902000,0,17,117ff57ff7fc1c19
199180701907500,0,17,117ff57ff7fc1c19
199180701913200,0,17,117ff47ff7fc1c19
199180701918700,0,17,117ff47ff7fc1c19
199180701924300,0,17,117ff47ff7fc1c19
199180701930400,0,17,117ff57ff7fc1c19
199180701936500,0,17,117ff57ff7fd1c19
199180701942100,0,17,117ff57ff7fc1c19
199180701948700,0,17,117ff57ff7fd1c19
199180701954500,0,17,117ff57ff7fd1c19
199180701960300,0,17,117ff58007fd1c19
199180701965900,0,17,117ff57ff7fd1c19
199180701973300,0,17,117ff57ff7fd1c19
199180701978700,0,17,117ff47ff7fd1c19
199180701984100,0,17,117ff57ff7fd1c19
199180701989400,0,17,117ff57ff7fd1c19
199180701994700,0,17,117ff58007fd1c19
199180702000200,0,17,117ff57ff7fd1c19
199180702005600,0,17,117ff47ff7fd1c19
199180702012400,0,17,117ff47fe7fd1c19
199180702017700,0,17,117ff47fe7fd1c19
199180702022900,0,17,117ff57ff7fd1c19
199180702028200,0,17,117ff57ff7fd1c19
199180702033400,0,17,117ff58007fd1c19
199180702039800,0,17,117ff57ff7fd1c19
199180702045300,0,17,117ff47ff7fd1c19
199180702050600,0,17,117ff47ff7fd1c19
199180702055900,0,17,117ff57ff7fd1c19
199180702061300,0,17,117ff57ff7fd1c19
199180702066700,0,17,117ff57ff7fd1c19
199180702072100,0,17,117ff57ff7fc1c19
199180702077600,0,17,117ff47fe7fc1c19
199180702082900,0,17,117ff58007fc1c19
199180702089100,0,17,117ff47ff7fc1c19
199180702094500,0,17,117ff47ff7fc1c19
199180702099600,0,17,117ff57ff7fb1c19
199180702104900,0,17,117ff57ff7fb1c19
199180702110300,0,17,117ff57ff7fb1c19
199180702115800,0,17,117ff57ff7fb1c19
199180702121000,0,17,117ff57ff7fb1c19
199180702126900,0,17,117ff47fe7fb1c19
199180702132900,0,17,117ff57fe7fc1c19
199180702138700,0,17,117ff58007fd1c19
199180702145400,0,17,117ff47ff7fd1c19
199180702151000,0,17,117ff58007fd1c19
199180702156300,0,17,117ff57ff7fd1c19
199180702161700,0,17,117ff57ff7fc1c19
199180702167000,0,17,117ff57ff7fc1c19
