t_host_mono_ns,t_rel_s,phase,q_cmd_rad,kp,kd,dq_cmd_rad_s,tau_ff_nm,q_real_rad,dq_real,tau_real_nm
203053574081000,2e-07,ramp,-0.0581750209811549,7e-06,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.004884004884004867
203053575717000,0.0016362,ramp,-0.0581750209811549,0.05726699999999999,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.004884004884004867
203053576716500,0.0026357,ramp,-0.0581750209811549,0.0922495,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.004884004884004867
203053577333900,0.0032531,ramp,-0.0581750209811549,0.11385849999999999,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.004884004884004867
203053578334400,0.0042536,ramp,-0.0581750209811549,0.14887599999999998,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.004884004884004867
203053579409400,0.0053286,ramp,-0.0581750209811549,0.186501,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.004884004884004867
203053580474400,0.0063936,ramp,-0.0581750209811549,0.22377599999999997,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.004884004884004867
203053581778100,0.0076973,ramp,-0.0581750209811549,0.2694055,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.004884004884004867
203053582389500,0.0083087,ramp,-0.0581750209811549,0.29080449999999997,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.004884004884004867
203053583480600,0.0093998,ramp,-0.0581750209811549,0.328993,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.004884004884004867
203053584664700,0.0105839,ramp,-0.0581750209811549,0.3704365,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.004884004884004867
203053585545200,0.0114644,ramp,-0.0581750209811549,0.401254,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053586540800,0.01246,ramp,-0.0581750209811549,0.4361,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053587660400,0.0135796,ramp,-0.0581750209811549,0.475286,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053588848200,0.0147674,ramp,-0.0581750209811549,0.516859,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053589548000,0.0154672,ramp,-0.0581750209811549,0.541352,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053590597600,0.0165168,ramp,-0.0581750209811549,0.578088,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053591623400,0.0175426,ramp,-0.0581750209811549,0.613991,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053592740700,0.0186599,ramp,-0.0581750209811549,0.6530965,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053593324100,0.0192433,ramp,-0.0581750209811549,0.6735154999999999,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053594326400,0.0202456,ramp,-0.0581750209811549,0.7085959999999999,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053595416100,0.0213353,ramp,-0.0581750209811549,0.7467355,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053596486200,0.0224054,ramp,-0.0581750209811549,0.7841889999999999,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053597544200,0.0234634,ramp,-0.0581750209811549,0.8212189999999999,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053598637700,0.0245569,ramp,-0.0581750209811549,0.8594915,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053599220400,0.0251396,ramp,-0.0581750209811549,0.8798860000000001,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053600287200,0.0262064,ramp,-0.0581750209811549,0.917224,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053601406700,0.0273259,ramp,-0.0581750209811549,0.9564064999999999,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053602542500,0.0284617,ramp,-0.0581750209811549,0.9961594999999999,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053603529300,0.0294485,ramp,-0.0581750209811549,1.0306975,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053604595900,0.0305151,ramp,-0.0581750209811549,1.0680285,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053605706300,0.0316255,ramp,-0.0581750209811549,1.1068925,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053606822700,0.0327419,ramp,-0.0581750209811549,1.1459664999999999,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053607451800,0.033371,ramp,-0.0581750209811549,1.1679849999999998,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053608456100,0.0343753,ramp,-0.0581750209811549,1.2031355,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053609503300,0.0354225,ramp,-0.0581750209811549,1.2397875,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053610621300,0.0365405,ramp,-0.0581750209811549,1.2789174999999997,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053611872300,0.0377915,ramp,-0.0581750209811549,1.3227025,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053612475400,0.0383946,ramp,-0.0581750209811549,1.343811,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053613495200,0.0394144,ramp,-0.0581750209811549,1.379504,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053614563400,0.0404826,ramp,-0.0581750209811549,1.416891,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053615811100,0.0417303,ramp,-0.0581750209811549,1.4605605,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053616771200,0.0426904,ramp,-0.0581750209811549,1.494164,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053617406500,0.0433257,ramp,-0.0581750209811549,1.5163995,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053618387900,0.0443071,ramp,-0.0581750209811549,1.5507485,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053619440700,0.0453599,ramp,-0.0581750209811549,1.5875964999999999,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053620591700,0.0465109,ramp,-0.0581750209811549,1.6278815,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053621893400,0.0478126,ramp,-0.0581750209811549,1.6734409999999997,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053622517000,0.0484362,ramp,-0.0581750209811549,1.6952669999999999,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053623566000,0.0494852,ramp,-0.0581750209811549,1.731982,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053624651000,0.0505702,ramp,-0.0581750209811549,1.769957,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053625266000,0.0511852,ramp,-0.0581750209811549,1.7914819999999998,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053626277700,0.0521969,ramp,-0.0581750209811549,1.8268914999999997,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053628112700,0.0540319,ramp,-0.0581750209811549,1.8911164999999999,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053628184400,0.0541036,ramp,-0.0581750209811549,1.8936259999999998,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053629800000,0.0557192,ramp,-0.0581750209811549,1.950172,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053630448000,0.0563672,ramp,-0.0581750209811549,1.9728519999999998,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053631842000,0.0577612,ramp,-0.0581750209811549,2.0216419999999995,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053632467600,0.0583868,ramp,-0.0581750209811549,2.043538,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053633470300,0.0593895,ramp,-0.0581750209811549,2.0786325,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053634550300,0.0604695,ramp,-0.0581750209811549,2.1164325,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053635738400,0.0616576,ramp,-0.0581750209811549,2.158016,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053636827600,0.0627468,ramp,-0.0581750209811549,2.196138,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053637432900,0.0633521,ramp,-0.0581750209811549,2.2173234999999996,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053638435400,0.0643546,ramp,-0.0581750209811549,2.252411,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053639501400,0.0654206,ramp,-0.0581750209811549,2.2897209999999997,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053640811000,0.0667302,ramp,-0.0581750209811549,2.3355569999999997,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053641565300,0.0674845,ramp,-0.0581750209811549,2.3619575,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053642554500,0.0684737,ramp,-0.0581750209811549,2.3965794999999996,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053643726500,0.0696457,ramp,-0.0581750209811549,2.4375995,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053644335600,0.0702548,ramp,-0.0581750209811549,2.458918,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053645336800,0.071256,ramp,-0.0581750209811549,2.49396,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053646467000,0.0723862,ramp,-0.0581750209811549,2.533517,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053647419600,0.0733388,ramp,-0.0581750209811549,2.566858,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053648422400,0.0743416,ramp,-0.0581750209811549,2.6019559999999995,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053649491900,0.0754111,ramp,-0.0581750209811549,2.6393884999999995,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053650553700,0.0764729,ramp,-0.0581750209811549,2.6765514999999995,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053651523400,0.0774426,ramp,-0.0581750209811549,2.7104909999999998,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053652522700,0.0784419,ramp,-0.0581750209811549,2.7454664999999996,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053653646700,0.0795659,ramp,-0.0581750209811549,2.7848064999999997,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053654831300,0.0807505,ramp,-0.0581750209811549,2.8262675,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053655592300,0.0815115,ramp,-0.0581750209811549,2.8529025,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053656545900,0.0824651,ramp,-0.0581750209811549,2.8862784999999995,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053657546700,0.0834659,ramp,-0.0581750209811549,2.9213064999999996,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053658646200,0.0845654,ramp,-0.0581750209811549,2.959789,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053659818600,0.0857378,ramp,-0.0581750209811549,3.000823,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053660418400,0.0863376,ramp,-0.0581750209811549,3.021816,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053661967400,0.0878866,ramp,-0.0581750209811549,3.0760309999999995,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053662591000,0.0885102,ramp,-0.0581750209811549,3.097857,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053663592300,0.0895115,ramp,-0.0581750209811549,3.1329024999999997,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053664791500,0.0907107,ramp,-0.0581750209811549,3.1748745,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053665406800,0.091326,ramp,-0.0581750209811549,3.1964099999999998,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053667186800,0.093106,ramp,-0.0581750209811549,3.2587099999999998,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053667293100,0.0932123,ramp,-0.0581750209811549,3.2624305,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053668913700,0.0948329,ramp,-0.0581750209811549,3.3191515,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053669575400,0.0954946,ramp,-0.0581750209811549,3.342311,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053670891200,0.0968104,ramp,-0.0581750209811549,3.3883639999999997,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053671588500,0.0975077,ramp,-0.0581750209811549,3.4127695,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053672645800,0.098565,ramp,-0.0581750209811549,3.449775,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053673257000,0.0991762,ramp,-0.0581750209811549,3.4711670000000003,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053674247900,0.1001671,ramp,-0.0581750209811549,3.5058485,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053675304100,0.1012233,ramp,-0.0581750209811549,3.5428154999999997,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053676361000,0.1022802,ramp,-0.0581750209811549,3.5798069999999997,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053677616500,0.1035357,ramp,-0.0581750209811549,3.6237494999999997,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053678930000,0.1048492,ramp,-0.0581750209811549,3.669722,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053679559300,0.1054785,ramp,-0.0581750209811549,3.6917474999999995,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053680752800,0.106672,ramp,-0.0581750209811549,3.7335199999999995,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053681923600,0.1078428,ramp,-0.0581750209811549,3.774498,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053682531200,0.1084504,ramp,-0.0581750209811549,3.7957639999999997,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053683533200,0.1094524,ramp,-0.0581750209811549,3.8308340000000003,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053684614100,0.1105333,ramp,-0.0581750209811549,3.8686654999999996,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053685869800,0.111789,ramp,-0.0581750209811549,3.9126149999999993,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053686480300,0.1123995,ramp,-0.0581750209811549,3.9339824999999995,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053687485600,0.1134048,ramp,-0.0581750209811549,3.969168,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053688602500,0.1145217,ramp,-0.0581750209811549,4.008259499999999,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053689692300,0.1156115,ramp,-0.0581750209811549,4.0464025,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053690276400,0.1161956,ramp,-0.0581750209811549,4.066846,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053691295900,0.1172151,ramp,-0.0581750209811549,4.1025285,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053692556500,0.1184757,ramp,-0.0581750209811549,4.1466495000000005,2.0,0.0,0.0,-0.0581750209811549,-0.0329670329670364,-0.0146520146520146
203053693917900,0.1198371,ramp,-0.0581750209811549,4.1942984999999995,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053694544300,0.1204635,ramp,-0.0581750209811549,4.2162225,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053695730400,0.1216496,ramp,-0.0581750209811549,4.2577359999999995,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053696851400,0.1227706,ramp,-0.0581750209811549,4.296971,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053697499000,0.1234182,ramp,-0.0581750209811549,4.319636999999999,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053698493900,0.1244131,ramp,-0.0581750209811549,4.3544585,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053699569000,0.1254882,ramp,-0.0581750209811549,4.392086999999999,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053700748500,0.1266677,ramp,-0.0581750209811549,4.4333694999999995,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053701877400,0.1277966,ramp,-0.0581750209811549,4.472881,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053702507800,0.128427,ramp,-0.0581750209811549,4.494945,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053703546900,0.1294661,ramp,-0.0581750209811549,4.5313134999999996,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053704609200,0.1305284,ramp,-0.0581750209811549,4.568493999999999,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053705907100,0.1318263,ramp,-0.0581750209811549,4.6139205,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053706555900,0.1324751,ramp,-0.0581750209811549,4.6366285000000005,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053707617900,0.1335371,ramp,-0.0581750209811549,4.673798499999999,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053709064400,0.1349836,ramp,-0.0581750209811549,4.724426,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053709667200,0.1355864,ramp,-0.0581750209811549,4.745524,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053710686000,0.1366052,ramp,-0.0581750209811549,4.781182,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053711847800,0.137767,ramp,-0.0581750209811549,4.821845,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053712673000,0.1385922,ramp,-0.0581750209811549,4.850726999999999,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053714058900,0.1399781,ramp,-0.0581750209811549,4.899233499999999,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053714778500,0.1406977,ramp,-0.0581750209811549,4.9244195,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053715382800,0.141302,ramp,-0.0581750209811549,4.94557,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053716391500,0.1423107,ramp,-0.0581750209811549,4.9808745000000005,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053717482300,0.1434015,ramp,-0.0581750209811549,5.019052499999999,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053718499100,0.1444183,ramp,-0.0581750209811549,5.0546405,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053719574200,0.1454934,ramp,-0.0581750209811549,5.092269,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053720709000,0.1466282,ramp,-0.0581750209811549,5.131987,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053721802400,0.1477216,ramp,-0.0581750209811549,5.170256,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053722421900,0.1483411,ramp,-0.0581750209811549,5.1919385,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053723542400,0.1494616,ramp,-0.0581750209811549,5.2311559999999995,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053724654900,0.1505741,ramp,-0.0581750209811549,5.270093499999999,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053725686600,0.1516058,ramp,-0.0581750209811549,5.306203,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
203053726893800,0.152813,ramp,-0.0581750209811549,5.3484549999999995,2.0,0.0,0.0,-0.0581750209811549,-0.010989010989007397,-0.03418803418803407
