t_host_mono_ns,t_rel_s,phase,q_cmd_rad,kp,kd,dq_cmd_rad_s,tau_ff_nm,q_real_rad,dq_real,tau_real_nm
203150456886200,4e-07,ramp,-0.0749599450675209,1.4e-05,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150458793800,0.001908,ramp,-0.0749599450675209,0.06678,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150459534000,0.0026482,ramp,-0.0749599450675209,0.09268699999999999,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150460156900,0.0032711,ramp,-0.0749599450675209,0.11448849999999999,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150461207000,0.0043212,ramp,-0.0749599450675209,0.151242,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150462245100,0.0053593,ramp,-0.0749599450675209,0.18757549999999998,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150463381200,0.0064954,ramp,-0.0749599450675209,0.22733899999999999,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150464349300,0.0074635,ramp,-0.0749599450675209,0.26122249999999997,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150465351300,0.0084655,ramp,-0.0749599450675209,0.2962925,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150466455800,0.00957,ramp,-0.0749599450675209,0.33494999999999997,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150467445400,0.0105596,ramp,-0.0749599450675209,0.36958599999999997,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150468683700,0.0117979,ramp,-0.0749599450675209,0.4129265,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150469262100,0.0123763,ramp,-0.0749599450675209,0.4331705,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150470264700,0.0133789,ramp,-0.0749599450675209,0.4682615,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150471525900,0.0146401,ramp,-0.0749599450675209,0.5124034999999999,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150472453500,0.0155677,ramp,-0.0749599450675209,0.5448694999999999,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150473634300,0.0167485,ramp,-0.0749599450675209,0.5861974999999999,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150474426300,0.0175405,ramp,-0.0749599450675209,0.6139175,2.0,0.0,0.0,-0.0749599450675209,-0.010989010989007397,-0.004884004884004867
203150475168300,0.0182825,ramp,-0.0749599450675209,0.6398874999999999,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150476172200,0.0192864,ramp,-0.0749599450675209,0.675024,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150477185800,0.0203,ramp,-0.0749599450675209,0.7104999999999999,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150478185000,0.0212992,ramp,-0.0749599450675209,0.7454719999999999,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150479189300,0.0223035,ramp,-0.0749599450675209,0.7806225,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150480192900,0.0233071,ramp,-0.0749599450675209,0.8157485,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150481204300,0.0243185,ramp,-0.0749599450675209,0.8511475,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150482206400,0.0253206,ramp,-0.0749599450675209,0.8862209999999999,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150483213400,0.0263276,ramp,-0.0749599450675209,0.9214659999999999,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150484218200,0.0273324,ramp,-0.0749599450675209,0.9566339999999999,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150485227900,0.0283421,ramp,-0.0749599450675209,0.9919735,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150486246300,0.0293605,ramp,-0.0749599450675209,1.0276175,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150487237700,0.0303519,ramp,-0.0749599450675209,1.0623164999999999,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150488241900,0.0313561,ramp,-0.0749599450675209,1.0974635,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150489247300,0.0323615,ramp,-0.0749599450675209,1.1326524999999998,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150490367000,0.0334812,ramp,-0.0749599450675209,1.171842,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150491411500,0.0345257,ramp,-0.0749599450675209,1.2083994999999998,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150492476900,0.0355911,ramp,-0.0749599450675209,1.2456885,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150493481400,0.0365956,ramp,-0.0749599450675209,1.280846,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150494077300,0.0371915,ramp,-0.0749599450675209,1.3017025,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150495080000,0.0381942,ramp,-0.0749599450675209,1.3367969999999998,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150496084700,0.0391989,ramp,-0.0749599450675209,1.3719614999999998,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150497089500,0.0402037,ramp,-0.0749599450675209,1.4071295,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150498111500,0.0412257,ramp,-0.0749599450675209,1.4428994999999998,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150499192800,0.042307,ramp,-0.0749599450675209,1.4807449999999998,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150500192500,0.0433067,ramp,-0.0749599450675209,1.5157344999999998,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150501220500,0.0443347,ramp,-0.0749599450675209,1.5517144999999997,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150502209500,0.0453237,ramp,-0.0749599450675209,1.5863295,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150503231800,0.046346,ramp,-0.0749599450675209,1.62211,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150504227200,0.0473414,ramp,-0.0749599450675209,1.6569489999999998,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150506345800,0.04946,ramp,-0.0749599450675209,1.7310999999999996,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150506690700,0.0498049,ramp,-0.0749599450675209,1.7431714999999999,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150507366000,0.0504802,ramp,-0.0749599450675209,1.766807,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150508403100,0.0515173,ramp,-0.0749599450675209,1.8031055,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150509413200,0.0525274,ramp,-0.0749599450675209,1.838459,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150510393400,0.0535076,ramp,-0.0749599450675209,1.872766,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150511597500,0.0547117,ramp,-0.0749599450675209,1.9149094999999998,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150512452100,0.0555663,ramp,-0.0749599450675209,1.9448204999999996,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150513482300,0.0565965,ramp,-0.0749599450675209,1.9808774999999998,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150514648300,0.0577625,ramp,-0.0749599450675209,2.0216874999999996,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150515251000,0.0583652,ramp,-0.0749599450675209,2.042782,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150516273200,0.0593874,ramp,-0.0749599450675209,2.0785590000000003,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150517396200,0.0605104,ramp,-0.0749599450675209,2.117864,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150518397300,0.0615115,ramp,-0.0749599450675209,2.1529024999999997,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150519555600,0.0626698,ramp,-0.0749599450675209,2.193443,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150520171100,0.0632853,ramp,-0.0749599450675209,2.2149855,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150521338600,0.0644528,ramp,-0.0749599450675209,2.255848,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150522429800,0.065544,ramp,-0.0749599450675209,2.29404,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150523430800,0.066545,ramp,-0.0749599450675209,2.329075,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150524452100,0.0675663,ramp,-0.0749599450675209,2.3648204999999995,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150525584800,0.068699,ramp,-0.0749599450675209,2.4044649999999996,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150526151500,0.0692657,ramp,-0.0749599450675209,2.4242995,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150527163900,0.0702781,ramp,-0.0749599450675209,2.4597334999999996,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150528267500,0.0713817,ramp,-0.0749599450675209,2.4983595000000003,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150529332200,0.0724464,ramp,-0.0749599450675209,2.5356239999999994,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150530323900,0.0734381,ramp,-0.0749599450675209,2.5703335000000003,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150531340600,0.0744548,ramp,-0.0749599450675209,2.605918,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150532466100,0.0755803,ramp,-0.0749599450675209,2.6453105,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150533848600,0.0769628,ramp,-0.0749599450675209,2.693698,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150534441700,0.0775559,ramp,-0.0749599450675209,2.7144565,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150535463200,0.0785774,ramp,-0.0749599450675209,2.750209,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150536730600,0.0798448,ramp,-0.0749599450675209,2.794568,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
203150537330300,0.0804445,ramp,-0.0749599450675209,2.8155574999999997,2.0,0.0,0.0,-0.0745784695201035,-0.010989010989007397,-0.024420024420024333
